Entity,Year,Daily Total Calorie,Daily Calorie from Animal Product
World,1961,2169,261
World,1962,2217,265
World,1963,2218,271
World,1964,2245,271
World,1965,2265,274
World,1966,2279,278
World,1967,2285,283
World,1968,2288,287
World,1969,2298,285
World,1970,2342,287
World,1971,2319,290
World,1972,2308,293
World,1973,2344,288
World,1974,2337,293
World,1975,2352,292
World,1976,2348,295
World,1977,2375,296
World,1978,2433,300
World,1979,2430,306
World,1980,2443,310
World,1981,2453,311
World,1982,2481,310
World,1983,2524,312
World,1984,2531,318
World,1985,2534,327
World,1986,2538,328
World,1987,2556,333
World,1988,2572,335
World,1989,2584,337
World,1990,2569,340
World,1991,2546,338
World,1992,2553,338
World,1993,2556,340
World,1994,2578,350
World,1995,2599,357
World,1996,2607,358
World,1997,2618,361
World,1998,2629,368
World,1999,2636,371
World,2000,2648,375
World,2001,2644,374
World,2002,2644,378
World,2003,2647,384
World,2004,2655,387
World,2005,2665,392
World,2006,2681,399
World,2007,2703,408
World,2008,2719,413
World,2009,2716,417
World,2010,2784,422
World,2011,2792,421
World,2012,2817,426
World,2013,2824,429
World,2014,2843,433
World,2015,2846,435
World,2016,2856,438
World,2017,2876,442
World,2018,2890,451
World,2019,2900,457
World,2020,2915,453
