Entity,Code,Habitat Change
Afghanistan,AFG,-2.41%
Albania,ALB,-0.48%
Algeria,DZA,-3.15%
American Samoa,ASM,-2.26%
Andorra,AND,0.52%
Angola,AGO,-9.32%
Anguilla,AIA,-4.59%
Antarctica,ATA,-2.94%
Antigua and Barbuda,ATG,-4.26%
Argentina,ARG,-7.30%
Armenia,ARM,-0.66%
Aruba,ABW,-4.41%
Australia,AUS,0.58%
Austria,AUT,-0.39%
Azerbaijan,AZE,-0.61%
Bahamas,BHS,-4.16%
Bahrain,BHR,-2.42%
Bangladesh,BGD,-2.97%
Barbados,BRB,-4.48%
Belarus,BLR,-0.07%
Belgium,BEL,-0.75%
Belize,BLZ,-4.43%
Benin,BEN,-14.59%
Bermuda,BMU,-3.11%
Bhutan,BTN,-1.71%
Bolivia,BOL,-3.92%
Bonaire, Sint Eustatius and Saba,BES,-4.01%
Bosnia and Herzegovina,BIH,-0.24%
Botswana,BWA,-9.76%
Bouvet Island,BVT,-1.62%
Brazil,BRA,-6.27%
British Indian Ocean Territory,IOT,-4.43%
British Virgin Islands,VGB,-4.35%
Brunei,BRN,-3.49%
Bulgaria,BGR,-0.33%
Burkina Faso,BFA,-14.38%
Burundi,BDI,-13.45%
Cambodia,KHM,-2.10%
Cameroon,CMR,-13.90%
Canada,CAN,-3.17%
Cape Verde,CPV,-3.59%
Cayman Islands,CYM,-4.88%
Central African Republic,CAF,-11.30%
Chad,TCD,-12.80%
Chile,CHL,-3.57%
China,CHN,-0.04%
Christmas Island,CXR,-3.80%
Cocos Islands,CCK,-3.44%
Colombia,COL,-1.92%
Comoros,COM,-4.17%
Congo,COD,-9.20%
Cook Islands,COK,-2.00%
Costa Rica,CRI,-3.89%
Cote d'Ivoire,CIV,-15.12%
Croatia,HRV,-0.33%
Cuba,CUB,-6.06%
Curacao,CUW,-4.14%
Cyprus,CYP,-1.64%
Czechia,CZE,-0.23%
Democratic Republic of Congo,COG,-12.64%
Denmark,DNK,-1.22%
Djibouti,DJI,-9.18%
Dominica,DMA,-4.21%
Dominican Republic,DOM,-6.16%
Ecuador,ECU,-1.88%
Egypt,EGY,-3.70%
El Salvador,SLV,-4.62%
Equatorial Guinea,GNQ,-9.02%
Eritrea,ERI,-10.96%
Estonia,EST,-0.04%
Eswatini,SWZ,-9.91%
Ethiopia,ETH,-15.80%
Falkland Islands,FLK,-4.86%
Faroe Islands,FRO,-1.16%
Fiji,FJI,-1.83%
Finland,FIN,-0.89%
France,FRA,-0.93%
French Guiana,GUF,-2.99%
French Polynesia,PYF,-2.02%
French Southern Territories,ATF,-3.11%
Gabon,GAB,-8.96%
Gambia,GMB,-12.02%
Georgia,GEO,-0.24%
Germany,DEU,-0.53%
Ghana,GHA,-14.86%
Gibraltar,GIB,-1.86%
Greece,GRC,-0.57%
Greenland,GRL,-1.87%
Grenada,GRD,-4.05%
Guadeloupe,GLP,-4.14%
Guam,GUM,-3.05%
Guatemala,GTM,-4.55%
Guernsey,GGY,-3.39%
Guinea,GIN,-14.92%
Guinea-Bissau,GNB,-12.81%
Guyana,GUY,-2.96%
Haiti,HTI,-10.26%
Heard Island and McDonald Islands,HMD,-1.69%
Holy See,VAT,3.08%
Honduras,HND,-4.96%
Hong Kong,HKG,-0.97%
Hungary,HUN,-0.31%
Iceland,ISL,-2.01%
India,IND,-2.63%
Indonesia,IDN,-2.61%
Iran,IRN,-1.84%
Iraq,IRQ,-1.99%
Ireland,IRL,-1.58%
Isle of Man,IMN,0.00%
Israel,ISR,-2.69%
Italy,ITA,-1.01%
Jamaica,JAM,-3.97%
Japan,JPN,-0.88%
Jersey,JEY,-3.39%
Jordan,JOR,-2.67%
Kazakhstan,KAZ,0.04%
Kenya,KEN,-14.89%
Kiribati,KIR,-2.67%
Kuwait,KWT,-2.49%
Kyrgyzstan,KGZ,-0.98%
Laos,LAO,-1.25%
Latvia,LVA,-0.37%
Lebanon,LBN,-1.88%
Lesotho,LSO,-7.71%
Liberia,LBR,-13.53%
Libya,LBY,-2.87%
Liechtenstein,LIE,-0.15%
Lithuania,LTU,0.50%
Luxembourg,LUX,-0.19%
Macao,MAC,-1.17%
Madagascar,MDG,-8.69%
Malawi,MWI,-12.67%
Malaysia,MYS,-3.71%
Maldives,MDV,-3.97%
Mali,MLI,-12.35%
Malta,MLT,-2.03%
Marshall Islands,MHL,-2.75%
Martinique,MTQ,-4.08%
Mauritania,MRT,-9.33%
Mauritius,MUS,-6.42%
Mayotte,MYT,-4.91%
Mexico,MEX,-3.50%
Micronesia,FSM,-2.96%
Moldova,MDA,0.15%
Monaco,MCO,0.29%
Mongolia,MNG,0.25%
Montenegro,MNE,-0.32%
Montserrat,MSR,-4.14%
Morocco,MAR,-3.40%
Mozambique,MOZ,-11.26%
Myanmar,MMR,-1.70%
Namibia,NAM,-8.42%
Nauru,NRU,-2.22%
Nepal,NPL,-2.24%
Netherlands,NLD,-1.02%
New Caledonia,NCL,-1.56%
New Zealand,NZL,-1.09%
Nicaragua,NIC,-4.86%
Niger,NER,-12.42%
Nigeria,NGA,-14.10%
Niue,NIU,-2.12%
Norfolk Island,NFK,-1.90%
North Korea,PRK,0.15%
North Macedonia,MKD,-0.29%
