Entity,Year,Living Planet Index
World,1970,100
World,1971,99.1
World,1972,97.93
World,1973,96.78
World,1974,95.35
World,1975,93.56
World,1976,91.49
World,1977,88.54
World,1978,85.68
World,1979,83.35
World,1980,81.51
World,1981,79.84
World,1982,77.28
World,1983,74.52
World,1984,71.83
World,1985,69.75
World,1986,68.13
World,1987,66.32
World,1988,64.55
World,1989,63.57
World,1990,62.68
World,1991,61.61
World,1992,60.12
World,1993,58.11
World,1994,56.2
World,1995,54.04
World,1996,53.04
World,1997,51.75
World,1998,50.47
World,1999,48.66
World,2000,47.22
World,2001,45.67
World,2002,44.5
World,2003,43.52
World,2004,42.93
World,2005,42.2
World,2006,41.3
World,2007,40.14
World,2008,38.72
World,2009,36.88
World,2010,35.15
World,2011,33.44
World,2012,32.37
World,2013,31.74
World,2014,31.67
World,2015,31.63
World,2016,31.15
World,2017,30.89
World,2018,30.9
